id,名字,开放等级,"类型
0 我要升级
1 我要装备
2 我要赚钱
3 我要变强",描述,"目标类型
1 寻路[目标id，地图id, 坐标x, 坐标z]
2 打开功能界面[功能id,位置索引（当功能ID相同时则添加，不同则不用添加）]
3 任务寻路[目标id，地图id, 坐标x, 坐标z]",目标参数,目标名称
id,name,open_level,type,detail,target,target_para,target_name
1,乱舞大会,25,0,经验、道具,2,16,乱舞大会
2,护送押镖,30,0,海量经验,3,"145,2,100,127",
3,斩妖除魔,35,0,海量经验、内力,3,"146,2,83,117",
4,每日副本,35,0,海量经验、道具,2,"1,0",每日副本
5,智力答题,35,0,经验、绑定元宝,2,17,智力答题
6,蛮荒岭,38,0,海量经验,3,"147,2,93,119",
7,安全挂机,10,0,经验,1,"129,2,80,113",
8,膜拜城主,40,0,经验,1,"151,2,87,127",
9,怪物攻城,,1,有几率掉落高级装备,2,"1,1",日常活动
10,世界BOSS,36,1,有几率掉落高级装备,2,20,日常活动
11,野外刷怪,10,1,有几率掉落高级装备,1,"129,2,80,113",
12,装备合成,31,1,熔炼值合成高级装备,2,19,熔炼系统
13,宝藏,45,1,有几率获得高级装备，稀有道具,2,12,宝藏系统
14,极限试炼,38,1,有几率掉落高级装备,2,6,极限试练系统
15,每日副本,35,2,大量金币,3,"144,2,96,123",
16,庄园采集,40,2,大量金币,3,"138,2,91,117",
17,智力答题,35,2,绑定元宝,2,17,智力答题
18,野外刷怪,10,2,金币,1,"129,2,80,113",
19,装备强化,23,3,消耗金币、强化石强化装备,2,42,查看（详情）
20,坐骑进阶,10,3,消耗金币、坐骑进阶丹进阶坐骑,2,40,查看（详情）
21,羽翼进阶,58,3,消耗金币、羽翼进阶符进阶羽翼,2,44,查看（详情）
22,修炼心法,18,3,消耗金币、内力修炼心法,2,41,查看（详情）
